year,age_group,state,donations
2009,55-59,Malaysia,1680
2009,55-59,Melaka,134
2009,55-59,Negeri Sembilan,48
2009,55-59,Pahang,14
2009,55-59,Perak,150
2009,55-59,Pulau Pinang,0
2009,55-59,Sabah,111
2009,55-59,Sarawak,104
2009,55-59,Selangor,106
2009,55-59,Terengganu,31
2009,55-59,W.P. Kuala Lumpur,555
2009,60-64,Johor,16
2009,60-64,Kedah,21
2009,60-64,Kelantan,5
2009,60-64,Malaysia,137
2009,60-64,Melaka,11
2009,60-64,Negeri Sembilan,3
2009,60-64,Pahang,1
2009,60-64,Perak,15
2009,60-64,Pulau Pinang,0
2009,60-64,Sabah,6
2009,60-64,Sarawak,1
2009,60-64,Selangor,8
2009,60-64,Terengganu,1
2009,60-64,W.P. Kuala Lumpur,49
2010,17-24,Johor,5347
2010,17-24,Kedah,10714
2010,17-24,Kelantan,5145
2010,17-24,Malaysia,83346
2010,17-24,Melaka,6273
2010,17-24,Negeri Sembilan,3637
2010,17-24,Pahang,1050
2010,17-24,Perak,8346
2010,17-24,Pulau Pinang,0
2010,17-24,Sabah,3742
2010,17-24,Sarawak,2293
2010,17-24,Selangor,4349
2010,17-24,Terengganu,4520
2010,17-24,W.P. Kuala Lumpur,27930
2010,25-29,Johor,3151
2010,25-29,Kedah,2503
2010,25-29,Kelantan,617
2010,25-29,Malaysia,26883
2010,25-29,Melaka,1485
2010,25-29,Negeri Sembilan,838
2010,25-29,Pahang,206
2010,25-29,Perak,1605
2010,25-29,Pulau Pinang,0
2010,25-29,Sabah,1441
2010,25-29,Sarawak,911
2010,25-29,Selangor,2200
2010,25-29,Terengganu,650
2010,25-29,W.P. Kuala Lumpur,11276
2010,30-34,Johor,2534
2010,30-34,Kedah,1683
2010,30-34,Kelantan,465
2010,30-34,Malaysia,19115
2010,30-34,Melaka,985
2010,30-34,Negeri Sembilan,601
2010,30-34,Pahang,116
2010,30-34,Perak,1194
2010,30-34,Pulau Pinang,0
2010,30-34,Sabah,971
2010,30-34,Sarawak,702
2010,30-34,Selangor,1690
2010,30-34,Terengganu,399
2010,30-34,W.P. Kuala Lumpur,7775
2010,35-39,Johor,2075
2010,35-39,Kedah,1379
2010,35-39,Kelantan,416
2010,35-39,Malaysia,14398
2010,35-39,Melaka,803
2010,35-39,Negeri Sembilan,483
2010,35-39,Pahang,92
2010,35-39,Perak,1023
2010,35-39,Pulau Pinang,0
2010,35-39,Sabah,635
2010,35-39,Sarawak,674
2010,35-39,Selangor,1277
2010,35-39,Terengganu,255
2010,35-39,W.P. Kuala Lumpur,5286
2010,40-44,Johor,1630
2010,40-44,Kedah,1178
2010,40-44,Kelantan,321
2010,40-44,Malaysia,10754
2010,40-44,Melaka,652
2010,40-44,Negeri Sembilan,283
2010,40-44,Pahang,78
2010,40-44,Perak,821
2010,40-44,Pulau Pinang,0
2010,40-44,Sabah,480
2010,40-44,Sarawak,418
2010,40-44,Selangor,1122
2010,40-44,Terengganu,209
2010,40-44,W.P. Kuala Lumpur,3562
2010,45-49,Johor,1035
2010,45-49,Kedah,811
2010,45-49,Kelantan,232
2010,45-49,Malaysia,7308
2010,45-49,Melaka,481
