year,month,age_group,state,donations
2006,6,60-64,Selangor,0
2006,6,60-64,Terengganu,0
2006,6,60-64,W.P. Kuala Lumpur,4
2006,7,17-24,Johor,218
2006,7,17-24,Kedah,24
2006,7,17-24,Kelantan,326
2006,7,17-24,Malaysia,6790
2006,7,17-24,Melaka,22
2006,7,17-24,Negeri Sembilan,0
2006,7,17-24,Pahang,248
2006,7,17-24,Perak,2
2006,7,17-24,Pulau Pinang,0
2006,7,17-24,Sabah,57
2006,7,17-24,Sarawak,2
2006,7,17-24,Selangor,12
2006,7,17-24,Terengganu,1003
2006,7,17-24,W.P. Kuala Lumpur,4876
2006,7,25-29,Johor,49
2006,7,25-29,Kedah,4
2006,7,25-29,Kelantan,41
2006,7,25-29,Malaysia,1507
2006,7,25-29,Melaka,7
2006,7,25-29,Negeri Sembilan,0
2006,7,25-29,Pahang,26
2006,7,25-29,Perak,1
2006,7,25-29,Pulau Pinang,0
2006,7,25-29,Sabah,49
2006,7,25-29,Sarawak,4
2006,7,25-29,Selangor,7
2006,7,25-29,Terengganu,130
2006,7,25-29,W.P. Kuala Lumpur,1189
2006,7,30-34,Johor,40
2006,7,30-34,Kedah,2
2006,7,30-34,Kelantan,33
2006,7,30-34,Malaysia,1044
2006,7,30-34,Melaka,5
2006,7,30-34,Negeri Sembilan,0
2006,7,30-34,Pahang,29
2006,7,30-34,Perak,0
2006,7,30-34,Pulau Pinang,0
2006,7,30-34,Sabah,58
2006,7,30-34,Sarawak,1
2006,7,30-34,Selangor,6
2006,7,30-34,Terengganu,98
